Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
10 2000.00 829.45 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
8 1038.00 1142.15 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
25 10000.00 1186.95 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
13 1500.00 1050.65 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
26 10000.00 1191.95 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
21 1.01 1162.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
14 1500.00 1045.75 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
27 10000.00 1187.05 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
7 500.00 1155.15 104.874678 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.05365
28 10000.00 1192.05 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
15 1500.00 1050.75 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
11 2000.00 829.55 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
29 10000.00 1187.15 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
14 7000.00 903.75 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
16 1500.00 1045.85 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
30 10000.00 1192.15 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
22 1.01 1163.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
31 10000.00 1187.25 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
10 1038.00 1142.35 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
8 3000.00 934.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 002264
32 10000.00 1192.25 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
8 500.00 1152.15 104.874679 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.05365
15 7000.00 903.85 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
11 1038.00 1142.45 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
33 10000.00 1187.35 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
12 2000.00 829.65 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
34 10000.00 1192.35 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
9 3000.00 937.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
35 10000.00 1187.45 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
19 1500.00 1050.95 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
36 10000.00 1192.45 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
37 10000.00 1187.55 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
12 1038.00 1142.55 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
20 1500.00 1046.05 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
38 10000.00 1192.55 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
23 1.01 1164.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
10 3000.00 940.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 05761
39 10000.00 1187.65 100.113880 46.4571 0.978885 17.8896 1.14158 0 5.82437 8.65015 11.0374 1.93779 0.739158 0 5.21406
13 1038.00 1142.65 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
16 7000.00 903.75 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
21 1500.00 1051.05 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
11 3000.00 943.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
14 1038.00 1142.75 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
10 500.00 1146.15 104.874682 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.05365
15 2000.00 829.75 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
22 1500.00 1046.15 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
24 1.01 1163.15 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
17 7000.00 908.75 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
18 7000.00 903.85 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
23 1500.00 1051.15 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
19 7000.00 908.85 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
15 1038.00 1142.85 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
20 7000.00 903.95 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
12 3000.00 946.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
11 500.00 1143.15 104.874683 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.0536564
21 7000.00 908.95 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
25 1.01 1163.25 100.802447 53.2725 1.29957 15.2774 2.21468 0 11.2993 5.1586 7.60894 2.98604 0.734109 0 0
22 7000.00 904.05 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
17 2000.00 829.85 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
25 1500.00 1051.25 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
23 7000.00 909.05 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
18 2000.00 834.85 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
24 7000.00 904.15 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
16 1038.00 1142.95 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
12 500.00 1140.15 104.874685 54.7034 1.49702 16.0096 1.19301 0 6.08679 3.28011 6.48393 4.30991 1.23957 0 5.0536564
25 7000.00 909.15 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
19 2000.00 829.95 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
26 7000.00 904.25 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
17 1038.00 1143.05 102.553175 53.9037 0.984855 19.0633 1.2054 0 6.14998 3.44212 8.62967 4.59274 0.117012 0 1.75519
20 2000.00 834.95 103.498387 75.0446 0.183578 11.8263 0.275257 0 1.40437 0.24155 1.20775 2.11598 2.63772 0 4.92761
27 7000.00 909.25 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
14 3000.00 952.15 100.018091 64.1884 0.259953 20.5663 0.181562 0 0.926332 0.229958 2.41956 3.79931 7.37867 0 0
28 1500.00 1046.45 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
28 7000.00 904.35 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
29 7000.00 909.35 107.985153 65.2868 0.212992 15.3725 0.419644 0 2.14104 0.333379 1.75024 3.32453 3.46344 0 7.59364
29 1500.00 1051.45 102.559430 60.0335 1.15055 17.8531 0.581546 0 2.96706 1.85258 4.65096 6.09403 1.69658 0 3.02264
