System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
19 3500.00 1346.00 100.000000 1.0000000000000000 1.000000 -1162956.619424 289.309319 37.809352 149.312346 -214.574957 3168.154400 -6.158 -6.158 2.644848 0.000000 1.510 n/a n/a
20 5000.00 1343.00 100.000000 1.0000000000000000 1.000000 -1158528.480775 288.555952 37.483428 149.311471 -207.284618 3184.671214 -6.052 -6.052 2.667846 0.000000 1.520 n/a n/a
20 3500.00 1343.00 100.000000 1.0000000000000000 1.000000 -1163404.555150 289.032414 37.799847 149.311471 -214.607991 3168.154400 -6.187 -6.187 2.645513 0.000000 1.520 n/a n/a
21 1000.00 1340.00 100.000000 1.0000000000000000 1.000000 -1172096.294462 289.543593 38.342202 149.310595 -226.846645 3140.626378 -6.448 -6.448 2.608092 0.000000 1.531 n/a n/a
21 3500.00 1340.00 100.000000 1.0000000000000000 1.000000 -1163852.488250 288.754996 37.790343 149.310595 -214.641024 3168.154400 -6.217 -6.217 2.646179 0.000000 1.531 n/a n/a
22 5000.00 1337.00 100.000000 1.0000000000000000 1.000000 -1159424.344345 288.000601 37.464320 149.309718 -207.350685 3184.671214 -6.110 -6.110 2.669206 0.000000 1.541 n/a n/a
22 3500.00 1337.00 100.000000 1.0000000000000000 1.000000 -1164300.418721 288.477063 37.780838 149.309718 -214.674058 3168.154400 -6.246 -6.246 2.646844 0.000000 1.541 n/a n/a
23 5000.00 1334.00 100.000000 1.0000000000000000 1.000000 -1159872.272184 287.722151 37.454766 149.308841 -207.383719 3184.671214 -6.140 -6.140 2.669887 0.000000 1.552 n/a n/a
22 2000.00 1337.00 100.000000 1.0000000000000000 1.000000 -1169228.783942 288.951047 38.108342 149.309718 -221.997431 3151.637587 -6.385 -6.385 2.624097 0.000000 1.541 n/a n/a
24 5000.00 1331.00 100.000000 1.0000000000000000 1.000000 -1160320.197388 287.443183 37.445212 149.307962 -207.416753 3184.671214 -6.170 -6.170 2.670568 0.000000 1.563 n/a n/a
23 2000.00 1334.00 100.000000 1.0000000000000000 1.000000 -1169676.711780 288.672598 38.098887 149.308841 -222.030464 3151.637587 -6.415 -6.415 2.624749 0.000000 1.552 n/a n/a
25 5000.00 1328.00 100.000000 1.0000000000000000 1.000000 -1160768.119954 287.163694 37.435658 149.307082 -207.449786 3184.671214 -6.199 -6.199 2.671250 0.000000 1.573 n/a n/a
24 2000.00 1331.00 100.000000 1.0000000000000000 1.000000 -1170124.636984 288.393630 38.089432 149.307962 -222.063498 3151.637587 -6.444 -6.444 2.625400 0.000000 1.563 n/a n/a
26 1000.00 1325.00 100.000000 1.0000000000000000 1.000000 -1174335.920467 288.148743 38.295093 149.306201 -227.011814 3140.626378 -6.599 -6.599 2.611301 0.000000 1.584 n/a n/a
25 2000.00 1328.00 100.000000 1.0000000000000000 1.000000 -1170572.559550 288.114141 38.079977 149.307082 -222.096532 3151.637587 -6.475 -6.475 2.626052 0.000000 1.573 n/a n/a
27 5000.00 1322.00 100.000000 1.0000000000000000 1.000000 -1161663.957161 286.603147 37.416550 149.305320 -207.515854 3184.671214 -6.259 -6.259 2.672614 0.000000 1.595 n/a n/a
27 3500.00 1322.00 100.000000 1.0000000000000000 1.000000 -1166540.031537 287.079609 37.733316 149.305320 -214.839226 3168.154400 -6.396 -6.396 2.650178 0.000000 1.595 n/a n/a
28 5000.00 1319.00 100.000000 1.0000000000000000 1.000000 -1162111.871796 286.322085 37.406996 149.304437 -207.548887 3184.671214 -6.290 -6.290 2.673297 0.000000 1.606 n/a n/a
27 2000.00 1322.00 100.000000 1.0000000000000000 1.000000 -1171468.396757 287.553594 38.061067 149.305320 -222.162599 3151.637587 -6.535 -6.535 2.627357 0.000000 1.595 n/a n/a
29 1000.00 1316.00 100.000000 1.0000000000000000 1.000000 -1175679.664370 287.305554 38.266827 149.303553 -227.110914 3140.626378 -6.691 -6.691 2.613229 0.000000 1.617 n/a n/a
29 3500.00 1316.00 100.000000 1.0000000000000000 1.000000 -1167435.858158 286.516956 37.714307 149.303553 -214.905293 3168.154400 -6.457 -6.457 2.651514 0.000000 1.617 n/a n/a
30 1000.00 1313.00 100.000000 1.0000000000000000 1.000000 -1176127.573704 287.023433 38.257405 149.302669 -227.143948 3140.626378 -6.722 -6.722 2.613873 0.000000 1.628 n/a n/a
30 3500.00 1313.00 100.000000 1.0000000000000000 1.000000 -1167883.767492 286.234835 37.704803 149.302669 -214.938327 3168.154400 -6.488 -6.488 2.652182 0.000000 1.628 n/a n/a
31 5000.00 1310.00 100.000000 1.0000000000000000 1.000000 -1163455.599795 285.475720 37.378334 149.301783 -207.647988 3184.671214 -6.381 -6.381 2.675347 0.000000 1.638 n/a n/a
31 3500.00 1310.00 100.000000 1.0000000000000000 1.000000 -1168331.674171 285.952182 37.695298 149.301783 -214.971361 3168.154400 -6.519 -6.519 2.652851 0.000000 1.638 n/a n/a
32 1000.00 1307.00 100.000000 1.0000000000000000 1.000000 -1177023.384403 286.457592 38.238562 149.300897 -227.210015 3140.626378 -6.784 -6.784 2.615161 0.000000 1.649 n/a n/a
32 3500.00 1307.00 100.000000 1.0000000000000000 1.000000 -1168779.578191 285.668994 37.685794 149.300897 -215.004394 3168.154400 -6.550 -6.550 2.653520 0.000000 1.649 n/a n/a
31 2000.00 1310.00 100.000000 1.0000000000000000 1.000000 -1173260.039391 286.426166 38.023248 149.301783 -222.294733 3151.637587 -6.658 -6.658 2.629970 0.000000 1.638 n/a n/a
33 5000.00 1304.00 100.000000 1.0000000000000000 1.000000 -1164351.405175 284.908808 37.359226 149.300009 -207.714055 3184.671214 -6.443 -6.443 2.676715 0.000000 1.661 n/a n/a
33 3500.00 1304.00 100.000000 1.0000000000000000 1.000000 -1169227.479551 285.385270 37.676289 149.300009 -215.037428 3168.154400 -6.581 -6.581 2.654189 0.000000 1.661 n/a n/a
32 2000.00 1307.00 100.000000 1.0000000000000000 1.000000 -1173707.943412 286.142978 38.013793 149.300897 -222.327767 3151.637587 -6.689 -6.689 2.630624 0.000000 1.649 n/a n/a
34 5000.00 1301.00 100.000000 1.0000000000000000 1.000000 -1164799.303870 284.624545 37.349672 149.299121 -207.747089 3184.671214 -6.474 -6.474 2.677400 0.000000 1.672 n/a n/a
34 3500.00 1301.00 100.000000 1.0000000000000000 1.000000 -1169675.378246 285.101007 37.666785 149.299121 -215.070462 3168.154400 -6.612 -6.612 2.654859 0.000000 1.672 n/a n/a
33 2000.00 1304.00 100.000000 1.0000000000000000 1.000000 -1174155.844771 285.859254 38.004338 149.300009 -222.360801 3151.637587 -6.721 -6.721 2.631279 0.000000 1.661 n/a n/a
35 5000.00 1298.00 100.000000 1.0000000000000000 1.000000 -1165247.199899 284.339741 37.340118 149.298231 -207.780123 3184.671214 -6.505 -6.505 2.678085 0.000000 1.683 n/a n/a
35 3500.00 1298.00 100.000000 1.0000000000000000 1.000000 -1170123.274274 284.816203 37.657280 149.298231 -215.103495 3168.154400 -6.643 -6.643 2.655529 0.000000 1.683 n/a n/a
34 2000.00 1301.00 100.000000 1.0000000000000000 1.000000 -1174603.743467 285.574991 37.994883 149.299121 -222.393834 3151.637587 -6.752 -6.752 2.631933 0.000000 1.672 n/a n/a
36 5000.00 1295.00 100.000000 1.0000000000000000 1.000000 -1165695.093257 284.054395 37.330564 149.297341 -207.813156 3184.671214 -6.537 -6.537 2.678770 0.000000 1.694 n/a n/a
36 3500.00 1295.00 100.000000 1.0000000000000000 1.000000 -1170571.167633 284.530857 37.647776 149.297341 -215.136529 3168.154400 -6.675 -6.675 2.656199 0.000000 1.694 n/a n/a
37 1000.00 1292.00 100.000000 1.0000000000000000 1.000000 -1179262.864530 285.033564 38.191452 149.296449 -227.375183 3140.626378 -6.943 -6.943 2.618387 0.000000 1.705 n/a n/a
37 5000.00 1292.00 100.000000 1.0000000000000000 1.000000 -1166142.983942 283.768505 37.321010 149.296449 -207.846190 3184.671214 -6.568 -6.568 2.679456 0.000000 1.705 n/a n/a
37 3500.00 1292.00 100.000000 1.0000000000000000 1.000000 -1171019.058318 284.244966 37.638271 149.296449 -215.169562 3168.154400 -6.706 -6.706 2.656870 0.000000 1.705 n/a n/a
38 1000.00 1289.00 100.000000 1.0000000000000000 1.000000 -1179710.752539 284.747126 38.182030 149.295557 -227.408217 3140.626378 -6.975 -6.975 2.619033 0.000000 1.716 n/a n/a
38 5000.00 1289.00 100.000000 1.0000000000000000 1.000000 -1166590.871952 283.482067 37.311456 149.295557 -207.879223 3184.671214 -6.600 -6.600 2.680142 0.000000 1.716 n/a n/a
38 3500.00 1289.00 100.000000 1.0000000000000000 1.000000 -1171466.946327 283.958529 37.628767 149.295557 -215.202596 3168.154400 -6.738 -6.738 2.657541 0.000000 1.716 n/a n/a
